sk_games,date,team,opponent,real_score,opponent_real_score
e5fba273c7e046bdc8360cf6b7e8e26a,2021-10-19,Anaheim Ducks,Edmonton Oilers,5,6
32b9416854d417bcee695c738f702186,2022-04-26,Anaheim Ducks,San Jose Sharks,5,2
e9aa80e54f7e50181eaa1bcef95f1a91,2021-12-03,Anaheim Ducks,Calgary Flames,4,3
ddd37b6c664ef377d9bbaf4f78772fa4,2022-02-17,Anaheim Ducks,Edmonton Oilers,3,7
9a901e7341c465525b17dca4777866f4,2022-03-13,Anaheim Ducks,New York Islanders,3,4
c908dc1fdeda312ad8b34153b174d495,2021-10-23,Anaheim Ducks,Minnesota Wild,3,4
ec7864ad473c9714e474af7d1fba50db,2022-01-11,Anaheim Ducks,Pittsburgh Penguins,4,1
6514e610d33f116819f756bcf7b38f90,2022-02-19,Anaheim Ducks,Vancouver Canucks,7,4
6c20c7e37d36a448db32ff638f8b0275,2021-12-11,Anaheim Ducks,Pittsburgh Penguins,0,1
60535a88243862e78b27017a74d10cf8,2022-02-22,Anaheim Ducks,San Jose Sharks,3,4
336dc3ca6fab7738f7bb668faf77f67b,2021-10-21,Anaheim Ducks,Winnipeg Jets,1,5
2bc1dc05094534cac958f453d6bf9632,2022-03-12,Anaheim Ducks,New Jersey Devils,1,2
69a7ee6d8d4f6de966d9449248416cb1,2022-03-10,Anaheim Ducks,Nashville Predators,1,4
ae129eef54269c182f1885662f82dd02,2021-11-18,Anaheim Ducks,Carolina Hurricanes,2,1
4d22efe4b8b7eef11df108490f7b4544,2021-11-28,Anaheim Ducks,Toronto Maple Leafs,5,1
418f40f3c3f46a78ec64d0668aaeef1b,2022-01-14,Anaheim Ducks,Minnesota Wild,3,7
12248f74c4967e864d07d8021d648178,2021-11-16,Anaheim Ducks,Washington Capitals,2,3
1ff2511ab634915f56ff87b6020c3967,2022-03-29,Anaheim Ducks,Dallas Stars,3,2
e56d81243cf5d807188bcf54f4e42d73,2022-02-25,Anaheim Ducks,Los Angeles Kings,4,1
05daa10701b140a9247c47d16bfd9a1f,2022-03-26,Anaheim Ducks,San Jose Sharks,1,4
8fa56ceaa8be25852231d427fd230e9c,2022-01-15,Anaheim Ducks,Chicago Blackhawks,0,3
4fc988fd9d64a52082265a59ce0913aa,2021-11-30,Anaheim Ducks,Los Angeles Kings,5,4
8c61abf7d0def5a18251beacb8772d04,2021-11-22,Anaheim Ducks,Nashville Predators,2,3
34100c8a8cdd047a4f5b07904938beb6,2021-10-15,Anaheim Ducks,Minnesota Wild,2,1
1908bbfde09c89cc5149c762b46e2b44,2022-01-02,Anaheim Ducks,Colorado Avalanche,2,4
f15b72c411a011f2680725e285233ceb,2021-11-14,Anaheim Ducks,Vancouver Canucks,1,5
cfa5c81ae98824f4fdb9aff57a54bc70,2022-04-14,Anaheim Ducks,Tampa Bay Lightning,3,4
5cea220f002d48cf76c9dc1c4e8cec90,2022-04-17,Anaheim Ducks,Columbus Blue Jackets,4,6
fb8c0fe1faba1bba35736f208d2f7ce0,2022-04-29,Anaheim Ducks,Dallas Stars,2,4
5184efb4e2f8366f47991c83eea231d6,2022-01-19,Anaheim Ducks,Colorado Avalanche,2,0
a13b2dcd67692480509ce4c39375baf6,2022-04-09,Anaheim Ducks,Philadelphia Flyers,5,3
92aaeb5e555585283bffe2e269c0b995,2022-01-21,Anaheim Ducks,Tampa Bay Lightning,1,5
bd9f1404f04d05f362654461ea1ee849,2022-04-10,Anaheim Ducks,Carolina Hurricanes,2,5
9c8f2bcf043f96cbcf43cf2e6227b111,2022-03-23,Anaheim Ducks,Chicago Blackhawks,4,2
d3ac07b892e8ed3df61a04f21b7eb53a,2021-11-11,Anaheim Ducks,Seattle Kraken,7,4
ec4671d499cb16eea6a243ba75377fe7,2022-02-27,Anaheim Ducks,New York Islanders,4,0
e188d3a1c31590a7a0fa77d607c6a1a9,2021-10-13,Anaheim Ducks,Winnipeg Jets,1,4
3ad0d34e6853c7367152508d125b387b,2022-01-04,Anaheim Ducks,Philadelphia Flyers,1,4
21bf02a20dae13a5f3581449558c5c8f,2022-03-06,Anaheim Ducks,San Jose Sharks,2,3
11116cf230241ae057d3b736231ec5a1,2022-04-19,Anaheim Ducks,Los Angeles Kings,2,1
58ca0146d3a4b4add569a31b35e93a6f,2022-04-12,Anaheim Ducks,Florida Panthers,2,3
5a705f4dcf41ffb2569dae2c026f3c1b,2021-12-15,Anaheim Ducks,Seattle Kraken,1,4
861112af3c3de5a4e35b098035a24c39,2021-11-24,Anaheim Ducks,Colorado Avalanche,2,5
6791e487dccf9be465a4434108cc6287,2021-11-09,Anaheim Ducks,Vancouver Canucks,3,2
a673964394b62183c633cef1fb13f70f,2021-12-31,Anaheim Ducks,Vegas Golden Knights,1,3
d0e9ced63143adbe58a9964fcbd43398,2022-01-24,Anaheim Ducks,Boston Bruins,5,3
3a5bd0247f12c3e6ce35fc215d13580c,2021-12-01,Anaheim Ducks,Vegas Golden Knights,5,6
7a9d14200362dacd77bfa3c29f4ebb98,2022-03-21,Anaheim Ducks,Nashville Predators,6,3
1c97db21e6334feadfac1cddfdde84a1,2021-11-07,Anaheim Ducks,St Louis Blues,1,4
6e33feee19e91083182d33bb02d480c5,2022-03-04,Anaheim Ducks,Vegas Golden Knights,5,4
e6229286d8ec7ee2e0237536828aaf6c,2021-11-26,Anaheim Ducks,Ottawa Senators,0,4
ab7dcb83100ff4b9eb08d65d390ddc84,2022-01-26,Anaheim Ducks,Toronto Maple Leafs,3,4
5d0a843d1d768f6ba325c32eb413cf79,2022-01-27,Anaheim Ducks,Montreal Canadiens,5,4
beae3d9289132f8d49cfc05d4ce546cc,2021-11-05,Anaheim Ducks,Arizona Coyotes,1,3
7d6b855934d8de88a60230bdb14bc120,2022-01-29,Anaheim Ducks,Ottawa Senators,2,1
24cdc5328da78e737446fc4fdb7bcfa9,2022-04-06,Anaheim Ducks,Calgary Flames,4,2
1c261449f1a2c336486b1b3ab58b2689,2022-01-31,Anaheim Ducks,Detroit Red Wings,1,2
c621d17d1b723b74e58317ee3e2425de,2022-03-18,Anaheim Ducks,Florida Panthers,3,0
4e74f5964e1fe8e96d5684b9b66efda0,2021-11-02,Anaheim Ducks,New Jersey Devils,0,4
ea721475222589f600f7c93919da92d9,2022-04-23,Anaheim Ducks,Los Angeles Kings,2,4
d47a9e83e9600564bc664df1d1daec89,2021-10-18,Anaheim Ducks,Calgary Flames,3,2
851476d9fc522fe6c8ce42e36e51b660,2021-12-29,Anaheim Ducks,Vancouver Canucks,2,1
be39986e6b87acb0e169a6461ef0a995,2021-10-31,Anaheim Ducks,Montreal Canadiens,2,4
7c3fb75be368cb09cba91d677eb99aac,2022-03-31,Anaheim Ducks,Dallas Stars,3,2
4f740a2ec72d38d6bd895d9ae1b9cd71,2021-12-07,Anaheim Ducks,Buffalo Sabres,2,0
6b756eed0e8b02d71ac75c805d0fb6f7,2022-03-01,Anaheim Ducks,Boston Bruins,3,4
ce3cf14a87d0655e78229506a63ba615,2022-04-03,Anaheim Ducks,Edmonton Oilers,6,1
94ddae829369cf19f2297c2cb868c06c,2022-04-01,Anaheim Ducks,Arizona Coyotes,5,0
6536eee279141f3739eeb83f5d54496c,2022-01-08,Anaheim Ducks,New York Rangers,4,1
49daa64371bbf8651b3c493c302145c7,2022-03-08,Anaheim Ducks,Chicago Blackhawks,3,8
b5b99799a083afb950df10a75d4b10be,2021-10-29,Anaheim Ducks,Vegas Golden Knights,4,5
df44376594ecf74e88e2b29a215cc659,2022-01-09,Anaheim Ducks,Detroit Red Wings,3,4
2a1489a87edb6cdfd9764dfb2340ac0d,2021-10-28,Anaheim Ducks,Buffalo Sabres,4,3
e71c70634f2771b875dcc284e1478bfc,2022-04-24,Anaheim Ducks,St Louis Blues,6,3
406e19ce14bd6195434a91a408653f74,2022-02-11,Anaheim Ducks,Seattle Kraken,4,3
2ba927e62e9402d8ab8fe8c4bfbbcf7f,2021-12-12,Anaheim Ducks,St Louis Blues,3,2
7e9975b163631ba095e7972c2419747b,2022-03-15,Anaheim Ducks,New York Rangers,3,4
19b02ff16d60566eea633c9841d395ce,2021-10-26,Anaheim Ducks,Winnipeg Jets,4,3
1f6ff9563c416381a903b57838effd2a,2021-12-09,Anaheim Ducks,Columbus Blue Jackets,2,1
e04e46ea8d8e7f8f8f2a0b121ba96660,2021-12-06,Anaheim Ducks,Washington Capitals,3,4
817d4727f2979f5db827d509951203bc,2022-02-16,Anaheim Ducks,Calgary Flames,2,6
